actors,budget,country,creator,description,duration,genre,public,score,title,year
"Tom Hardy, Charlize Theron, Nicholas Hoult",150000000,Australia,George Miller,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M...",120,Action,R,8.1,Mad Max: Fury Road,2015
"Buster Keaton, Clyde Bruckman, Al Boasberg",750000,United States,Clyde Bruckman,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ...",78,Action,Passed,8.1,The General,1926
"Darío Grandinetti, María Marull, Mónica Villa",3300000,Argentina,Damián Szifron,Six short stories that explore the extremities of human behavior involving people in distress.,122,Comedy,R,8.1,Wild Tales,2014
"Michael Cimino, Deric Washburn, Louis Garfinkle",15000000,United States,Michael Cimino,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,183,Drama,R,8.1,The Deer Hunter,1978
"Buster Keaton, Kathryn McGuire, Joe Keaton",399,United States,Buster Keaton,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",45,Action,Passed,8.2,Sherlock Jr.,1924
"Budd Schulberg, Malcolm Johnson, Robert Siodmak",910000,United States,Elia Kazan,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ...",108,Crime,Approved,8.1,On the Waterfront,1954
"Robin Williams, Robert Sean Leonard, Ethan Hawke",16400000,United States,Peter Weir,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel...",128,Comedy,PG,8.1,Dead Poets Society,1989
"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha",2800000,South Korea,Bong Joon Ho,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",132,Crime,Not Rated,8.1,Memories of Murder,2003
"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",13000000,Ireland,Jim Sheridan,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free t...",133,Biography,R,8.1,In the Name of the Father,1993
"Charles Chaplin, Mack Swain, Tom Murray",923000,United States,Charles Chaplin,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",95,Adventure,Passed,8.1,The Gold Rush,1925
"Lew Wallace, Karl Tunberg, Gore Vidal",15000000,United States,William Wyler,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",212,Adventure,G,8.1,Ben-Hur,1959
"Andrew Garfield, Sam Worthington, Luke Bracey",40000000,United States,Mel Gibson,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit...",139,Biography,R,8.1,Hacksaw Ridge,2016
"Gillian Flynn, Ben Affleck, Rosamund Pike",61000000,United States,David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149,Drama,R,8.1,Gone Girl,2014
"Ryan O'Neal, Marisa Berenson, Patrick Magee",11000000,United Kingdom,Stanley Kubrick,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,185,Adventure,PG,8.1,Barry Lyndon,1975
"Stefan Zweig, Wes Anderson, Hugo Guinness",25000000,United States,Wes Anderson,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",99,Adventure,R,8.1,The Grand Budapest Hotel,2014
"Harrison Ford, Rutger Hauer, Sean Young",28000000,United States,Ridley Scott,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,117,Action,R,8.1,Blade Runner,1982
"Ethan Hawke, Julie Delpy, Andrea Eckert",2500000,United States,Richard Linklater,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",101,Drama,R,8.1,Before Sunrise,1995
"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",20000000,United Kingdom,Steve McQueen,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.",134,Biography,R,8.1,12 Years a Slave,2013
"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi",180000,Iran,Majid Majidi,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",89,Drama,PG,8.2,Children of Heaven,1997
"Daniel Radcliffe, Emma Watson, Rupert Grint",125000000,United Kingdom,David Yates,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",130,Adventure,PG-13,8.1,Harry Potter and the Deathly Hallows: Part 2,2011
"Hilary Swank, Clint Eastwood, Morgan Freeman",30000000,United States,Clint Eastwood,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close...",132,Drama,PG-13,8.1,Million Dollar Baby,2004
"Hayao Miyazaki, Hitoshi Takagi, Noriko Hidaka",3700000,Japan,Hayao Miyazaki,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86,Animation,G,8.1,My Neighbor Totoro,1988
"Minami Hamabe, Sakura Andô, Ryunosuke Kamiki",15000000,Japan,Takashi Yamazaki,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",124,Action,PG-13,8.3,Godzilla Minus One,2023
"Nick Schenk, Dave Johannson, Clint Eastwood",33000000,Germany,Clint Eastwood,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",116,Drama,R,8.1,Gran Torino,2008
"Leonardo DiCaprio, Tom Hanks, Christopher Walken",52000000,United States,Steven Spielberg,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",141,Biography,PG-13,8.1,Catch Me If You Can,2002
"William H. Macy, Frances McDormand, Steve Buscemi",7000000,United States,Joel Coen,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,98,Crime,R,8.1,Fargo,1996
"Sergio Pablos, Jim Mahoney, Zach Lewis",40000000,Spain,Sergio Pablos,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv...",96,Animation,PG,8.2,Klaus,2019
